Harga,Kategori,Lokasi,Rating,Skala,Tema,Angka tersewa,Nama event organizer
1500000,Corporate Gathering,Denpasar,4.0,Besar (300+ orang),Strategy,97,Event Organizer E
1200000,Wedding,Bandung,1.6,Kecil (10-50 orang),Traditional,55,Event Organizer C
900000,Sport Event,Bandung,4.6,Besar (300+ orang),Competition,61,Event Organizer AG
250000,Seminar/Webinar,Medan,1.2,Kecil (10-50 orang),Innovation,5,Event Organizer AC
800000,Team Building,Makassar,1.1,Sedang (51-300 orang),Trust,35,Event Organizer F
2400000,Wedding,Bandung,2.2,Sedang (51-300 orang),Intimate,50,Event Organizer D
2400000,Wedding,Yogyakarta,2.0,Sedang (51-300 orang),Cultural,15,Event Organizer T
1000000,Corporate Gathering,Surabaya,3.0,Sedang (51-300 orang),Team Building,43,Event Organizer V
400000,Charity,Balikpapan,2.9,Sedang (51-300 orang),Awareness,84,Event Organizer AC
600000,Charity,Balikpapan,3.8,Besar (300+ orang),Volunteering,4,Event Organizer S
400000,Team Building,Medan,2.6,Kecil (10-50 orang),Communication,13,Event Organizer AA
250000,Seminar/Webinar,Balikpapan,1.3,Kecil (10-50 orang),Motivational,84,Event Organizer AI
500000,Seminar/Webinar,Denpasar,2.3,Sedang (51-300 orang),Motivational,42,Event Organizer AH
200000,Charity,Palembang,1.5,Kecil (10-50 orang),Community,94,Event Organizer U
750000,Seminar/Webinar,Bandung,2.8,Besar (300+ orang),Motivational,62,Event Organizer AD
750000,Seminar/Webinar,Semarang,4.3,Besar (300+ orang),Educational,75,Event Organizer D
400000,Team Building,Palembang,3.0,Kecil (10-50 orang),Engagement,33,Event Organizer P
500000,Seminar/Webinar,Medan,2.6,Sedang (51-300 orang),Skill Development,77,Event Organizer V
600000,Charity,Yogyakarta,1.1,Besar (300+ orang),Community,88,Event Organizer O
400000,Team Building,Yogyakarta,4.1,Kecil (10-50 orang),Teamwork,80,Event Organizer D
1500000,Corporate Gathering,Denpasar,3.9,Besar (300+ orang),Team Building,34,Event Organizer E
600000,Charity,Bandung,4.4,Besar (300+ orang),Helping,28,Event Organizer L
400000,Charity,Jakarta,3.4,Sedang (51-300 orang),Helping,63,Event Organizer S
800000,Festival,Balikpapan,3.0,Kecil (10-50 orang),Culture,55,Event Organizer AC
750000,Seminar/Webinar,Surabaya,4.2,Besar (300+ orang),Learning,10,Event Organizer Q
350000,Competition,Jakarta,4.0,Kecil (10-50 orang),Performance,49,Event Organizer AG
600000,Party,Semarang,3.5,Kecil (10-50 orang),Music,75,Event Organizer AL
350000,Competition,Medan,4.4,Kecil (10-50 orang),Talent,1,Event Organizer M
3600000,Wedding,Jakarta,3.2,Besar (300+ orang),Intimate,39,Event Organizer AG
750000,Seminar/Webinar,Balikpapan,5.0,Besar (300+ orang),Motivational,68,Event Organizer AA
600000,Charity,Semarang,3.4,Besar (300+ orang),Volunteering,40,Event Organizer AC
1200000,Wedding,Palembang,2.8,Kecil (10-50 orang),Traditional,71,Event Organizer K
3600000,Wedding,Jakarta,5.0,Besar (300+ orang),Classic,85,Event Organizer AK
600000,Sport Event,Semarang,2.6,Sedang (51-300 orang),Health,97,Event Organizer B
500000,Corporate Gathering,Jakarta,2.5,Kecil (10-50 orang),Innovation,35,Event Organizer X
1200000,Party,Semarang,2.8,Sedang (51-300 orang),Celebration,62,Event Organizer W
800000,Team Building,Yogyakarta,1.1,Sedang (51-300 orang),Strategy,34,Event Organizer X
1200000,Team Building,Denpasar,4.8,Besar (300+ orang),Problem Solving,34,Event Organizer AG
3600000,Wedding,Semarang,3.8,Besar (300+ orang),Cultural,43,Event Organizer AF
2400000,Festival,Makassar,4.8,Besar (300+ orang),Arts,92,Event Organizer AB
500000,Corporate Gathering,Yogyakarta,1.8,Kecil (10-50 orang),Team Building,30,Event Organizer B
1000000,Corporate Gathering,Yogyakarta,2.9,Sedang (51-300 orang),Networking,52,Event Organizer L
300000,Sport Event,Semarang,3.4,Kecil (10-50 orang),Sportsmanship,71,Event Organizer N
400000,Charity,Medan,1.2,Sedang (51-300 orang),Giving,14,Event Organizer AJ
1050000,Competition,Bandung,5.0,Besar (300+ orang),Victory,36,Event Organizer L
1800000,Party,Jakarta,4.1,Besar (300+ orang),Entertainment,83,Event Organizer F
350000,Competition,Makassar,2.2,Kecil (10-50 orang),Achievement,64,Event Organizer Z
1500000,Corporate Gathering,Makassar,1.4,Besar (300+ orang),Innovation,79,Event Organizer M
1200000,Team Building,Denpasar,2.7,Besar (300+ orang),Trust,37,Event Organizer AF
200000,Charity,Balikpapan,2.3,Kecil (10-50 orang),Support,14,Event Organizer A
750000,Seminar/Webinar,Denpasar,1.2,Besar (300+ orang),Learning,57,Event Organizer T
500000,Corporate Gathering,Palembang,2.1,Kecil (10-50 orang),Strategy,32,Event Organizer AA
400000,Team Building,Denpasar,1.8,Kecil (10-50 orang),Trust,81,Event Organizer AM
900000,Sport Event,Balikpapan,3.0,Besar (300+ orang),Endurance,35,Event Organizer R
1800000,Party,Denpasar,2.1,Besar (300+ orang),Fun,64,Event Organizer X
600000,Party,Medan,1.7,Kecil (10-50 orang),Social,24,Event Organizer AL
1800000,Party,Yogyakarta,1.2,Besar (300+ orang),Themed,68,Event Organizer I
1600000,Festival,Balikpapan,3.0,Sedang (51-300 orang),Food,16,Event Organizer I
1200000,Team Building,Denpasar,1.9,Besar (300+ orang),Teamwork,69,Event Organizer D
1200000,Team Building,Bandung,1.9,Besar (300+ orang),Strategy,65,Event Organizer AK
2400000,Wedding,Medan,1.0,Sedang (51-300 orang),Romantic,40,Event Organizer AN
800000,Festival,Surabaya,2.1,Kecil (10-50 orang),Tradition,44,Event Organizer R
400000,Charity,Jakarta,1.5,Sedang (51-300 orang),Community,18,Event Organizer H
1200000,Wedding,Balikpapan,1.2,Kecil (10-50 orang),Romantic,12,Event Organizer G
2400000,Wedding,Surabaya,2.1,Sedang (51-300 orang),Romantic,47,Event Organizer B
500000,Corporate Gathering,Semarang,2.5,Kecil (10-50 orang),Strategy,82,Event Organizer P
1500000,Corporate Gathering,Medan,2.1,Besar (300+ orang),Professionalism,42,Event Organizer H
750000,Seminar/Webinar,Yogyakarta,3.4,Besar (300+ orang),Growth,35,Event Organizer Z
1500000,Corporate Gathering,Balikpapan,3.5,Besar (300+ orang),Professionalism,61,Event Organizer AK
1050000,Competition,Semarang,2.2,Besar (300+ orang),Excellence,81,Event Organizer T
200000,Charity,Jakarta,3.4,Kecil (10-50 orang),Fundraising,23,Event Organizer P
1600000,Festival,Denpasar,3.2,Sedang (51-300 orang),Food,69,Event Organizer R
400000,Charity,Makassar,1.5,Sedang (51-300 orang),Giving,14,Event Organizer X
1500000,Corporate Gathering,Palembang,2.5,Besar (300+ orang),Professionalism,93,Event Organizer AG
900000,Sport Event,Denpasar,2.8,Besar (300+ orang),Fitness,20,Event Organizer E
1200000,Team Building,Surabaya,2.9,Besar (300+ orang),Engagement,99,Event Organizer V
500000,Seminar/Webinar,Yogyakarta,1.6,Sedang (51-300 orang),Growth,49,Event Organizer AC
350000,Competition,Balikpapan,1.6,Kecil (10-50 orang),Sportsmanship,86,Event Organizer AM
900000,Sport Event,Jakarta,4.7,Besar (300+ orang),Health,17,Event Organizer Y
200000,Charity,Makassar,1.1,Kecil (10-50 orang),Support,77,Event Organizer AB
2400000,Wedding,Semarang,2.6,Sedang (51-300 orang),Cultural,7,Event Organizer G
600000,Party,Jakarta,4.2,Kecil (10-50 orang),Social,15,Event Organizer AL
1200000,Team Building,Palembang,4.1,Besar (300+ orang),Trust,35,Event Organizer AK
500000,Seminar/Webinar,Surabaya,4.7,Sedang (51-300 orang),Innovation,31,Event Organizer G
400000,Charity,Yogyakarta,1.5,Sedang (51-300 orang),Fundraising,91,Event Organizer U
1050000,Competition,Medan,2.0,Besar (300+ orang),Victory,99,Event Organizer D
700000,Competition,Semarang,2.4,Sedang (51-300 orang),Performance,44,Event Organizer AC
2400000,Festival,Balikpapan,3.1,Besar (300+ orang),Music,44,Event Organizer H
200000,Charity,Palembang,3.6,Kecil (10-50 orang),Support,44,Event Organizer H
600000,Sport Event,Surabaya,2.5,Sedang (51-300 orang),Adventure,23,Event Organizer Z
800000,Festival,Surabaya,2.3,Kecil (10-50 orang),Food,85,Event Organizer P
1800000,Party,Makassar,2.5,Besar (300+ orang),Entertainment,99,Event Organizer M
700000,Competition,Semarang,3.2,Sedang (51-300 orang),Achievement,63,Event Organizer R
400000,Team Building,Jakarta,2.5,Kecil (10-50 orang),Collaboration,4,Event Organizer E
800000,Team Building,Semarang,3.7,Sedang (51-300 orang),Engagement,37,Event Organizer J
1200000,Team Building,Bandung,4.8,Besar (300+ orang),Collaboration,60,Event Organizer Z
2400000,Festival,Semarang,5.0,Besar (300+ orang),Community,32,Event Organizer AB
1200000,Team Building,Yogyakarta,2.4,Besar (300+ orang),Strategy,10,Event Organizer AI
200000,Charity,Yogyakarta,2.5,Kecil (10-50 orang),Fundraising,66,Event Organizer N
350000,Competition,Jakarta,4.7,Kecil (10-50 orang),Victory,25,Event Organizer AG
200000,Charity,Surabaya,2.6,Kecil (10-50 orang),Support,16,Event Organizer AK
600000,Sport Event,Bandung,3.2,Sedang (51-300 orang),Health,62,Event Organizer C
200000,Charity,Jakarta,1.1,Kecil (10-50 orang),Helping,40,Event Organizer AD
3600000,Wedding,Semarang,1.7,Besar (300+ orang),Traditional,72,Event Organizer U
600000,Charity,Makassar,5.0,Besar (300+ orang),Helping,54,Event Organizer AJ
1200000,Team Building,Semarang,3.8,Besar (300+ orang),Engagement,26,Event Organizer AF
2400000,Wedding,Yogyakarta,2.0,Sedang (51-300 orang),Modern,23,Event Organizer AN
1500000,Corporate Gathering,Medan,2.3,Besar (300+ orang),Team Building,34,Event Organizer Q
2400000,Wedding,Semarang,2.1,Sedang (51-300 orang),Cultural,2,Event Organizer J
800000,Team Building,Surabaya,1.8,Sedang (51-300 orang),Engagement,75,Event Organizer AI
2400000,Festival,Semarang,3.9,Besar (300+ orang),Culture,74,Event Organizer I
400000,Charity,Semarang,3.8,Sedang (51-300 orang),Fundraising,81,Event Organizer E
1200000,Team Building,Jakarta,1.1,Besar (300+ orang),Problem Solving,49,Event Organizer AA
1200000,Team Building,Balikpapan,1.5,Besar (300+ orang),Trust,70,Event Organizer E
1600000,Festival,Yogyakarta,2.1,Sedang (51-300 orang),Tradition,93,Event Organizer Z
750000,Seminar/Webinar,Yogyakarta,1.9,Besar (300+ orang),Learning,19,Event Organizer W
1800000,Party,Denpasar,1.4,Besar (300+ orang),Social,39,Event Organizer N
600000,Party,Denpasar,4.2,Kecil (10-50 orang),Music,76,Event Organizer G
500000,Seminar/Webinar,Denpasar,3.5,Sedang (51-300 orang),Educational,41,Event Organizer K
1200000,Team Building,Bandung,1.5,Besar (300+ orang),Problem Solving,82,Event Organizer AL
2400000,Festival,Surabaya,3.0,Besar (300+ orang),Arts,16,Event Organizer N
1050000,Competition,Palembang,1.5,Besar (300+ orang),Victory,75,Event Organizer Q
900000,Sport Event,Bandung,4.2,Besar (300+ orang),Adventure,73,Event Organizer Y
1800000,Party,Balikpapan,1.9,Besar (300+ orang),Celebration,82,Event Organizer K
600000,Charity,Surabaya,4.4,Besar (300+ orang),Community,99,Event Organizer AA
700000,Competition,Makassar,1.4,Sedang (51-300 orang),Performance,17,Event Organizer L
200000,Charity,Makassar,4.0,Kecil (10-50 orang),Support,28,Event Organizer Z
400000,Charity,Surabaya,1.4,Sedang (51-300 orang),Giving,96,Event Organizer C
700000,Competition,Surabaya,4.8,Sedang (51-300 orang),Achievement,65,Event Organizer M
400000,Charity,Palembang,2.4,Sedang (51-300 orang),Awareness,47,Event Organizer AL
1000000,Corporate Gathering,Jakarta,2.8,Sedang (51-300 orang),Collaboration,79,Event Organizer L
800000,Team Building,Makassar,1.2,Sedang (51-300 orang),Trust,9,Event Organizer AK
350000,Competition,Semarang,4.2,Kecil (10-50 orang),Performance,74,Event Organizer T
700000,Competition,Medan,2.9,Sedang (51-300 orang),Challenge,71,Event Organizer AE
600000,Sport Event,Denpasar,3.4,Sedang (51-300 orang),Teamwork,20,Event Organizer AM
400000,Charity,Bandung,4.5,Sedang (51-300 orang),Helping,100,Event Organizer X
700000,Competition,Palembang,4.2,Sedang (51-300 orang),Achievement,75,Event Organizer H
900000,Sport Event,Palembang,1.1,Besar (300+ orang),Teamwork,44,Event Organizer X
200000,Charity,Medan,3.3,Kecil (10-50 orang),Support,82,Event Organizer F
400000,Charity,Medan,3.0,Sedang (51-300 orang),Helping,70,Event Organizer A
800000,Team Building,Medan,1.9,Sedang (51-300 orang),Trust,19,Event Organizer AL
1000000,Corporate Gathering,Medan,4.5,Sedang (51-300 orang),Innovation,47,Event Organizer V
3600000,Wedding,Medan,1.2,Besar (300+ orang),Romantic,99,Event Organizer P
2400000,Wedding,Palembang,2.1,Sedang (51-300 orang),Intimate,80,Event Organizer F
1500000,Corporate Gathering,Yogyakarta,4.6,Besar (300+ orang),Leadership,53,Event Organizer F
800000,Team Building,Palembang,3.9,Sedang (51-300 orang),Communication,31,Event Organizer N
1000000,Corporate Gathering,Makassar,1.2,Sedang (51-300 orang),Professionalism,39,Event Organizer N
200000,Charity,Palembang,2.3,Kecil (10-50 orang),Community,67,Event Organizer I
600000,Sport Event,Medan,4.2,Sedang (51-300 orang),Sportsmanship,4,Event Organizer U
1050000,Competition,Yogyakarta,4.5,Besar (300+ orang),Challenge,91,Event Organizer AL
400000,Charity,Yogyakarta,4.9,Sedang (51-300 orang),Awareness,30,Event Organizer H
1200000,Team Building,Palembang,1.5,Besar (300+ orang),Communication,59,Event Organizer M
600000,Sport Event,Makassar,2.3,Sedang (51-300 orang),Competition,93,Event Organizer W
2400000,Festival,Jakarta,1.1,Besar (300+ orang),Arts,5,Event Organizer K
3600000,Wedding,Jakarta,1.0,Besar (300+ orang),Intimate,11,Event Organizer AH
400000,Team Building,Palembang,1.8,Kecil (10-50 orang),Problem Solving,37,Event Organizer P
1800000,Party,Medan,2.3,Besar (300+ orang),Entertainment,10,Event Organizer M
400000,Team Building,Balikpapan,2.2,Kecil (10-50 orang),Trust,55,Event Organizer AN
1200000,Party,Jakarta,2.9,Sedang (51-300 orang),Celebration,85,Event Organizer AK
1050000,Competition,Balikpapan,2.4,Besar (300+ orang),Challenge,83,Event Organizer AA
2400000,Festival,Palembang,4.2,Besar (300+ orang),Celebration,78,Event Organizer AK
600000,Charity,Makassar,3.4,Besar (300+ orang),Giving,74,Event Organizer AC
600000,Party,Denpasar,3.7,Kecil (10-50 orang),Music,39,Event Organizer AK
1050000,Competition,Palembang,2.0,Besar (300+ orang),Sportsmanship,2,Event Organizer AM
600000,Sport Event,Makassar,4.6,Sedang (51-300 orang),Fitness,66,Event Organizer AC
2400000,Festival,Makassar,4.7,Besar (300+ orang),Tradition,81,Event Organizer J
700000,Competition,Jakarta,3.6,Sedang (51-300 orang),Sportsmanship,2,Event Organizer Q
600000,Charity,Jakarta,2.2,Besar (300+ orang),Fundraising,42,Event Organizer V
3600000,Wedding,Jakarta,1.8,Besar (300+ orang),Romantic,43,Event Organizer H
500000,Corporate Gathering,Denpasar,4.8,Kecil (10-50 orang),Professionalism,44,Event Organizer O
900000,Sport Event,Yogyakarta,4.0,Besar (300+ orang),Adventure,65,Event Organizer AK
500000,Seminar/Webinar,Denpasar,2.5,Sedang (51-300 orang),Innovation,60,Event Organizer E
1600000,Festival,Surabaya,3.4,Sedang (51-300 orang),Community,31,Event Organizer O
2400000,Festival,Semarang,2.5,Besar (300+ orang),Community,20,Event Organizer T
250000,Seminar/Webinar,Denpasar,2.8,Kecil (10-50 orang),Professional,87,Event Organizer J
600000,Sport Event,Semarang,3.2,Sedang (51-300 orang),Adventure,66,Event Organizer AF
